ZDB-BAC-090114-810|ZDB-BAC-030616-43|RP71-PACKTRZ|
ZDB-GENE-030131-1081|ZDB-GENE-040426-1916|wu:fb59a06|
ZDB-GENE-030131-7525|ZDB-GENE-040426-1917|wu:fj23b04|
ZDB-GENE-030219-214|ZDB-GENE-040426-1918|id:ibd5108|
ZDB-GENE-030131-4832|ZDB-GENE-040426-1920|wu:fe01a02|
ZDB-GENE-030131-8170|ZDB-GENE-040426-1921|wu:fj57h07|
ZDB-GENE-040426-2276|ZDB-GENE-040426-1922|zgc:77823|
ZDB-GENE-030131-4241|ZDB-GENE-040426-1923|wu:fc84b09|
ZDB-GENE-030131-3021|ZDB-GENE-040426-1924|wu:fc25a07|
ZDB-GENE-030131-6096|ZDB-GENE-040426-1926|wu:fi34c04|
ZDB-GENE-030131-1061|ZDB-GENE-040426-1928|wu:fb58e10|
ZDB-GENE-030131-243|ZDB-GENE-040426-1931|wu:fb18b10|
ZDB-GENE-030131-4886|ZDB-GENE-040426-1932|wu:fe05d10|
ZDB-GENE-031118-102|ZDB-GENE-040426-1934|wu:fr89a09|
ZDB-GENE-030131-609|ZDB-GENE-040426-1936|wu:fb37g12|
ZDB-GENE-030131-137|ZDB-GENE-040426-1937|hm:zehn1116|
ZDB-GENE-030131-1685|ZDB-GENE-040426-1938|wu:fb78a04|
ZDB-GENE-040426-2566|ZDB-GENE-040426-1938|zgc:77000|
ZDB-GENE-030131-2098|ZDB-GENE-040426-1942|wu:fb96f01|
ZDB-GENE-030131-7418|ZDB-GENE-040426-1943|wu:fj16b11|
ZDB-GENE-031118-29|ZDB-GENE-040426-1944|wu:fi12c05|
ZDB-GENE-040426-2067|ZDB-GENE-040426-1945|zgc:76911|
ZDB-GENE-031118-118|ZDB-GENE-040426-1947|wu:fv38g09|
ZDB-GENE-030131-6953|ZDB-GENE-040426-1948|wu:fa11g10|
ZDB-GENE-030131-2138|ZDB-GENE-040426-1950|wu:fb97g12|
ZDB-GENE-030131-986|ZDB-GENE-040426-1951|wu:fb55b10|
ZDB-GENE-030131-9333|ZDB-GENE-040426-1954|wu:fj65h01|
ZDB-GENE-040625-122|ZDB-GENE-040426-1955|zgc:86796|
ZDB-GENE-030131-6864|ZDB-GENE-040426-1957|wu:fa09g08|
ZDB-GENE-030131-7838|ZDB-GENE-040426-1960|wu:fj36c03|
ZDB-GENE-030131-252|ZDB-GENE-040426-1963|wu:fb18c11|
ZDB-GENE-030131-8508|ZDB-GENE-040426-1966|wu:fb13h01|
ZDB-GENE-030131-3444|ZDB-GENE-040426-1968|wu:fc39d10|
ZDB-GENE-030131-8628|ZDB-GENE-040426-1971|wu:fa92d10|
ZDB-GENE-050522-204|ZDB-GENE-040426-1971|zgc:111973|
ZDB-GENE-030131-258|ZDB-GENE-040426-1975|wu:fb18e12|
ZDB-GENE-030131-178|ZDB-GENE-040426-1978|wu:fb16a12|
ZDB-GENE-030131-4069|ZDB-GENE-040426-1979|wu:fc67h07|
ZDB-GENE-030131-1164|ZDB-GENE-040426-1986|wu:fb61d08|
ZDB-GENE-030131-3794|ZDB-GENE-040426-1991|wu:fc54c06|
ZDB-GENE-030131-1316|ZDB-GENE-040426-1994|wu:fb66f12|
ZDB-GENE-030131-5644|ZDB-GENE-040426-1995|wu:fi09g07|
ZDB-GENE-030131-1090|ZDB-GENE-040426-1996|wu:fb59b11|
ZDB-LOCUS-040927-4|ZDB-GENE-040426-1997|cleavage stimulation factor, 3 pre-RNA, subunit 3|
ZDB-GENE-030131-8051|ZDB-GENE-040426-2001|wu:fj48f12|
ZDB-GENE-050417-188|ZDB-GENE-040426-2001|zgc:111900|
ZDB-GENE-030131-6396|ZDB-GENE-040426-2005|wu:fi75a09|
ZDB-GENE-030131-6667|ZDB-GENE-040426-2009|wu:fa01e08|
ZDB-GENE-030131-4786|ZDB-GENE-040426-2013|wu:fd60c05|
ZDB-GENE-040426-2383|ZDB-GENE-040426-2014|zgc:77889|
ZDB-GENE-030131-6024|ZDB-GENE-040426-2017|wu:fi31b04|
ZDB-GENE-030131-5472|ZDB-GENE-040426-2018|wu:fd19g02|
ZDB-GENE-030131-9009|ZDB-GENE-040426-2020|wu:fa96f04|
ZDB-GENE-030131-6326|ZDB-GENE-040426-2022|wu:fi46h07|
ZDB-GENE-030131-9607|ZDB-GENE-040426-2023|wu:fj93d06|
ZDB-GENE-040426-2624|ZDB-GENE-040426-2024|zgc:76937|
ZDB-GENE-030131-5805|ZDB-GENE-040426-2032|wu:fi19d01|
ZDB-GENE-030131-3818|ZDB-GENE-040426-2033|wu:fc55b08|
ZDB-LOCUS-040712-2|ZDB-GENE-040426-2039|ubiquitin-like, containing PHD and RING finger domains, 1|
ZDB-GENE-030131-5747|ZDB-GENE-040426-2043|wu:fi16b11|
ZDB-GENE-030131-7442|ZDB-GENE-040426-2051|wu:fj17f09|
ZDB-GENE-030131-7300|ZDB-GENE-040426-2060|wu:fj05e12|
ZDB-GENE-030131-1306|ZDB-GENE-040426-2061|wu:fb66d06|
ZDB-GENE-030131-4980|ZDB-GENE-040426-2068|wu:fe16f08|
ZDB-GENE-030131-5716|ZDB-GENE-040426-2077|wu:fi14g04|
ZDB-GENE-030131-6604|ZDB-GENE-040426-2082|wu:fk47f04|
ZDB-GENE-040426-1471|ZDB-GENE-040426-2092|zgc:65907|
ZDB-GENE-030131-4543|ZDB-GENE-040426-2102|wu:fd12f11|
ZDB-GENE-010319-42|ZDB-GENE-040426-2104|id:ibd2069|
ZDB-GENE-030131-5438|ZDB-GENE-040426-2105|wu:fd18f12|
ZDB-GENE-070424-282|ZDB-GENE-040426-2110|si:rp71-56i13.4|
ZDB-GENE-030131-3025|ZDB-GENE-040426-2114|wu:fc25b01|
ZDB-GENE-030131-5573|ZDB-GENE-040426-2115|wu:fi04e07|
ZDB-GENE-030131-8633|ZDB-GENE-040426-2117|wu:fa92f05|
ZDB-GENE-030131-3293|ZDB-GENE-040426-2121|wu:fc33b05|
ZDB-GENE-030131-4080|ZDB-GENE-040426-2122|wu:fc68f03|
ZDB-GENE-030131-4054|ZDB-GENE-040426-2125|wu:fc66h02|
ZDB-GENE-030131-7289|ZDB-GENE-040426-2132|wu:fj05a08|
ZDB-GENE-030131-9202|ZDB-GENE-040426-2132|wu:fi98c09|
ZDB-GENE-040426-2558|ZDB-GENE-040426-2133|zgc:85643|
ZDB-GENE-030131-7262|ZDB-GENE-040426-2136|wu:fj01f08|
ZDB-GENE-030131-1299|ZDB-GENE-040426-2138|wu:fb66c05|
ZDB-GENE-030131-4472|ZDB-GENE-040426-2141|wu:fd08c02|
ZDB-GENE-030219-154|ZDB-GENE-040426-2142|id:ibd3034|
ZDB-GENE-030131-8144|ZDB-GENE-040426-2143|wu:fj55d06|
ZDB-GENE-030131-9902|ZDB-GENE-040426-2146|sb:cb575|
ZDB-GENE-030131-737|ZDB-GENE-040426-2148|wu:fb44a11|
ZDB-GENE-040426-2484|ZDB-GENE-040426-2150|zgc:85805|
ZDB-GENE-030131-962|ZDB-GENE-040426-2151|wu:fb54d02|
ZDB-GENE-040426-2271|ZDB-GENE-040426-2153|zgc:77840|
ZDB-GENE-030131-7964|ZDB-GENE-040426-2157|wu:fj43e01|
ZDB-GENE-030131-375|ZDB-GENE-040426-2159|wu:fb24h11|
ZDB-GENE-031118-101|ZDB-GENE-040426-2160|wu:fr86a12|
ZDB-GENE-030131-826|ZDB-GENE-040426-2161|wu:fb50c06|
ZDB-GENE-030131-2231|ZDB-GENE-040426-2167|wu:fc01b11|
ZDB-GENE-030131-748|ZDB-GENE-040426-2170|wu:fb44e02|
ZDB-GENE-030131-4152|ZDB-GENE-040426-2173|wu:fc76a05|
ZDB-GENE-030131-8998|ZDB-GENE-040426-2178|wu:fc08a11|
ZDB-GENE-040426-2291|ZDB-GENE-040426-2183|zgc:77728|
ZDB-GENE-030131-1542|ZDB-GENE-040426-2186|wu:fb74c02|
ZDB-GENE-040426-2583|ZDB-GENE-040426-2186|zgc:85634|
ZDB-GENE-030131-4550|ZDB-GENE-040426-2188|wu:fd12h04|
ZDB-GENE-030131-6177|ZDB-GENE-040426-2190|wu:fi37e05|
ZDB-GENE-030131-4553|ZDB-GENE-040426-2195|wu:fd13a09|
ZDB-GENE-030131-8449|ZDB-GENE-040426-2196|wu:fb12b06|
ZDB-GENE-030131-2157|ZDB-GENE-040426-2200|wu:fb98d06|
ZDB-GENE-030131-7444|ZDB-GENE-040426-2209|wu:fj17g02|
ZDB-GENE-030131-523|ZDB-GENE-040426-2213|wu:fb36a03|
ZDB-GENE-031204-12|ZDB-GENE-040426-2217|sb:cb1011|
ZDB-GENE-030131-6504|ZDB-GENE-040426-2220|wu:fv52d11|
ZDB-GENE-030131-7416|ZDB-GENE-040426-2227|wu:fj16a07|
ZDB-GENE-030131-7101|ZDB-GENE-040426-2229|wu:fk81e04|
ZDB-GENE-030131-9313|ZDB-GENE-040426-2252|wu:fj65b10|
ZDB-GENE-030131-7690|ZDB-GENE-040426-2263|wu:fp63g06|
ZDB-GENE-030131-314|ZDB-GENE-040426-2269|wu:fb22c09|
ZDB-GENE-030131-6726|ZDB-GENE-040426-2273|wu:fa03f07|
ZDB-GENE-030131-7236|ZDB-GENE-040426-2279|wu:fl20d04|
ZDB-GENE-030131-1802|ZDB-GENE-040426-2284|wu:fb81b03|
ZDB-GENE-030131-8463|ZDB-GENE-040426-2290|wu:fb12d12|
ZDB-GENE-030131-3978|ZDB-GENE-040426-2298|wu:fc62e03|
ZDB-LOCUS-041011-3|ZDB-GENE-040426-2298|RNA binding motif protein 22|
ZDB-GENE-030131-2675|ZDB-GENE-040426-2317|wu:fc15c12|
ZDB-GENE-030131-3575|ZDB-GENE-040426-2326|wu:fc45d07|
ZDB-GENE-050706-41|ZDB-GENE-040426-2326|zgc:113941|
ZDB-GENE-030131-8079|ZDB-GENE-040426-2338|wu:fj51c03|
ZDB-GENE-030131-8874|ZDB-GENE-040426-2340|wu:fk30b04|
ZDB-GENE-030131-8785|ZDB-GENE-040426-2344|wu:fb07d11|
ZDB-GENE-040426-2727|ZDB-GENE-040426-2345|zgc:73084|
ZDB-GENE-030131-5578|ZDB-GENE-040426-2360|wu:fi04g09|
ZDB-GENE-030131-2546|ZDB-GENE-040426-2379|wu:fc11b08|
ZDB-GENE-030131-2251|ZDB-GENE-040426-2382|wu:fc01g11|
ZDB-GENE-030131-6429|ZDB-GENE-040426-2385|wu:fj97a05|
ZDB-GENE-031118-201|ZDB-GENE-040426-2386|wu:fc69f09|
ZDB-GENE-030131-4107|ZDB-GENE-040426-2388|wu:fc73a04|
ZDB-GENE-030131-6025|ZDB-GENE-040426-2389|wu:fi31b05|
ZDB-GENE-030131-2591|ZDB-GENE-040426-2395|wu:fc12f04|
ZDB-GENE-030131-217|ZDB-GENE-040426-2401|wu:fb17e03|
ZDB-GENE-040808-63|ZDB-GENE-040426-2401|zgc:92452|
ZDB-GENE-030131-8724|ZDB-GENE-040426-2405|wu:fb05b06|
ZDB-GENE-030131-3413|ZDB-GENE-040426-2410|sb:cb339|
ZDB-GENE-030131-9783|ZDB-GENE-040426-2410|sb:cb339|
ZDB-GENE-030131-934|ZDB-GENE-040426-2432|wu:fb53d10|
ZDB-GENE-060503-742|ZDB-GENE-040426-2435|zgc:77374|
ZDB-GENE-030131-2834|ZDB-GENE-040426-2448|wu:fc19a08|
ZDB-GENE-030131-6216|ZDB-GENE-040426-2448|wu:fi39c10|
ZDB-GENE-030131-4488|ZDB-GENE-040426-2452|wu:fd10f03|
ZDB-LOCUS-040805-1|ZDB-GENE-040426-2452|splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)|
ZDB-GENE-030131-8379|ZDB-GENE-040426-2454|wu:fb10e01|
ZDB-GENE-030131-9996|ZDB-GENE-040426-2457|ik:tdsubc_1d5|
ZDB-GENE-040426-2862|ZDB-GENE-040426-2462|zgc:55754|
ZDB-GENE-030131-3690|ZDB-GENE-040426-2476|wu:fc49f12|
ZDB-GENE-030131-5745|ZDB-GENE-040426-2485|wu:fi16a08|
ZDB-GENE-030131-2339|ZDB-GENE-040426-2487|wu:fc05c02|
ZDB-GENE-030131-6080|ZDB-GENE-040426-2491|wu:fi33f11|
ZDB-GENE-040426-2934|ZDB-GENE-040426-2495|zgc:55329|
ZDB-GENE-030131-4986|ZDB-GENE-040426-2501|wu:fe17d08|
ZDB-GENE-030131-3386|ZDB-GENE-040426-2505|wu:fc37g02|
ZDB-GENE-030131-8936|ZDB-GENE-040426-2534|wu:fa66e04|
ZDB-GENE-030131-9258|ZDB-GENE-040426-2540|wu:fa55b07|
ZDB-GENE-030131-78|ZDB-GENE-040426-2548|hm:zeh1094|
ZDB-GENE-030131-3285|ZDB-GENE-040426-2556|wu:fc33a02|
ZDB-GENE-030131-3840|ZDB-GENE-040426-2562|wu:fc55g06|
ZDB-GENE-030131-5343|ZDB-GENE-040426-2571|wu:fd14c04|
ZDB-GENE-030131-6974|ZDB-GENE-040426-2574|wu:fa12b04|
ZDB-GENE-030131-3186|ZDB-GENE-040426-2576|wu:fc30a07|
ZDB-GENE-030131-544|ZDB-GENE-040426-2584|wu:fa06b05|
ZDB-GENE-060810-53|ZDB-GENE-040426-2587|im:7155364|
ZDB-GENE-030131-303|ZDB-GENE-040426-2594|wu:fb20g03|
ZDB-GENE-040426-2637|ZDB-GENE-040426-2603|zgc:65817|
ZDB-GENE-030131-762|ZDB-GENE-040426-2619|wu:fb47h01|
ZDB-GENE-030131-3488|ZDB-GENE-040426-2643|wu:fc41f09|
ZDB-GENE-030131-6880|ZDB-GENE-040426-2646|wu:fa10c06|
ZDB-GENE-030131-4033|ZDB-GENE-040426-2648|wu:fc66b08|
ZDB-GENE-030131-508|ZDB-GENE-040426-2650|wu:fb34e12|
ZDB-GENE-040426-2478|ZDB-GENE-040426-2650|zgc:77181|
ZDB-GENE-040426-2494|ZDB-GENE-040426-2655|zgc:85799|
ZDB-GENE-030131-9297|ZDB-GENE-040426-2656|wu:fa56d05|
ZDB-GENE-030131-2775|ZDB-GENE-040426-2665|wu:fc17g01|
ZDB-GENE-030131-9402|ZDB-GENE-040426-2666|wu:fj68b07|
ZDB-GENE-030131-317|ZDB-GENE-040426-2672|wu:fb22d05|
ZDB-GENE-031118-212|ZDB-GENE-040426-2675|wu:fc84f05|
ZDB-GENE-030131-8328|ZDB-GENE-040426-2679|wu:fb09a02|
ZDB-GENE-030131-5776|ZDB-GENE-040426-2681|wu:fi17g06|
ZDB-GENE-040718-481|ZDB-GENE-040426-2682|zgc:92596|
ZDB-GENE-030131-5683|ZDB-GENE-040426-2685|wu:fi13c01|
ZDB-GENE-030131-4373|ZDB-GENE-040426-2687|wu:fc95f02|
ZDB-GENE-030131-3081|ZDB-GENE-040426-2691|wu:fc26f10|
ZDB-GENE-030131-3234|ZDB-GENE-040426-2693|wu:fc31d04|
ZDB-GENE-030131-3865|ZDB-GENE-040426-2695|wu:fc22g09|
ZDB-GENE-040625-70|ZDB-GENE-040426-2697|zgc:86920|
ZDB-GENE-050522-361|ZDB-GENE-040426-2698|zgc:111883|
ZDB-GENE-030131-6694|ZDB-GENE-040426-2700|wu:fa02h04|
ZDB-LOCUS-040929-1|ZDB-GENE-040426-2701|ribosomal protein S11|
ZDB-GENE-030131-25|ZDB-GENE-040426-2706|hm:zeh0252|
ZDB-GENE-030131-944|ZDB-GENE-040426-2707|wu:fb53f10|
ZDB-GENE-030131-5603|ZDB-GENE-040426-2710|wu:fi05h01|
ZDB-GENE-040426-2378|ZDB-GENE-040426-2711|zgc:77899|
ZDB-GENE-030131-4432|ZDB-GENE-040426-2713|si:dz79f24.1|
ZDB-GENE-030131-8696|ZDB-GENE-040426-2714|wu:fa94f05|
ZDB-GENE-050626-130|ZDB-GENE-040426-2716|zgc:113925|
ZDB-GENE-030131-5429|ZDB-GENE-040426-2719|wu:fd18b01|
ZDB-GENE-050309-19|ZDB-GENE-040426-2719|im:6895726|
ZDB-GENE-030131-7396|ZDB-GENE-040426-2723|wu:fj14c12|
ZDB-GENE-030131-1472|ZDB-GENE-040426-2729|wu:fb72f05|
ZDB-GENE-030131-3798|ZDB-GENE-040426-2734|wu:fc54c11|
ZDB-GENE-030131-7177|ZDB-GENE-040426-2734|wu:fk93f11|
ZDB-GENE-040426-2301|ZDB-GENE-040426-2741|zgc:77684|
ZDB-GENE-030131-1484|ZDB-GENE-040426-2745|wu:fb72h03|
ZDB-GENE-030131-4529|ZDB-GENE-040426-2747|wu:fd12b11|
ZDB-GENE-050809-31|ZDB-GENE-040426-2749|im:7153094|
ZDB-GENE-030131-3069|ZDB-GENE-040426-2753|wu:fc26d04|
ZDB-GENE-030131-8157|ZDB-GENE-040426-2756|wu:fj56d06|
ZDB-GENE-030131-8220|ZDB-GENE-040426-2759|si:ch211-242m18.2|
ZDB-GENE-030131-2619|ZDB-GENE-040426-2761|wu:fc13d11|
ZDB-GENE-030131-6371|ZDB-GENE-040426-2764|wu:fi67c06|
ZDB-GENE-030131-6571|ZDB-GENE-040426-2765|wu:fa16h03|
ZDB-GENE-030131-2111|ZDB-GENE-040426-2766|wu:fb97a09|
ZDB-GENE-030131-234|ZDB-GENE-040426-2770|wu:fb18a04|
ZDB-GENE-030131-396|ZDB-GENE-040426-2771|wu:fb26d02|
ZDB-GENE-040426-2287|ZDB-GENE-040426-2771|zgc:77746|
ZDB-GENE-030131-1474|ZDB-GENE-040426-2773|wu:fb72f07|
ZDB-GENE-030131-2431|ZDB-GENE-040426-2776|wu:fc07f05|
ZDB-GENE-030131-6992|ZDB-GENE-040426-2776|wu:fa12e01|
ZDB-GENE-030131-3319|ZDB-GENE-040426-2780|wu:fc34a05|
ZDB-GENE-030131-6632|ZDB-GENE-040426-2781|wu:fk51d09|
ZDB-LOCUS-040224-12|ZDB-GENE-040426-2784|cellular atoll|
ZDB-GENE-030131-9567|ZDB-GENE-040426-2786|wu:fj87f09|
ZDB-GENE-041114-198|ZDB-GENE-040426-2787|zgc:86603|
ZDB-GENE-030131-4809|ZDB-GENE-040426-2788|wu:fd61g02|
ZDB-GENE-030131-2013|ZDB-GENE-040426-2793|wu:fb94d05|
ZDB-GENE-030131-7359|ZDB-GENE-040426-2795|wu:fj10e02|
ZDB-GENE-030131-3382|ZDB-GENE-040426-2796|wu:fc37f02|
ZDB-GENE-030131-2813|ZDB-GENE-040426-2799|wu:fc18e10|
ZDB-GENE-030131-4676|ZDB-GENE-040426-2802|wu:fd50g11|
ZDB-GENE-030131-5544|ZDB-GENE-040426-2807|wu:fi03d03|
ZDB-GENE-030131-2669|ZDB-GENE-040426-2810|wu:fc15a12|
ZDB-GENE-031118-225|ZDB-GENE-040426-2812|wu:fc96b02|
ZDB-GENE-030131-3766|ZDB-GENE-040426-2815|wu:fc52d10|
ZDB-GENE-040426-2302|ZDB-GENE-040426-2816|zgc:77681|
ZDB-LOCUS-040512-2|ZDB-GENE-040426-2817|pate|
ZDB-GENE-030131-2531|ZDB-GENE-040426-2823|wu:fc10f08|
ZDB-GENE-030131-6508|ZDB-GENE-040426-2824|wu:fa13e06|
ZDB-GENE-030131-3369|ZDB-GENE-040426-2825|wu:fc37b11|
ZDB-GENE-030131-5407|ZDB-GENE-040426-2827|wu:fd16d03|
ZDB-GENE-030131-3010|ZDB-GENE-040426-2830|wu:fc23g08|
ZDB-GENE-030131-3478|ZDB-GENE-040426-2832|wu:fc41d05|
ZDB-LOCUS-040927-2|ZDB-GENE-040426-2833|syntaxin binding protein 3|
ZDB-GENE-030131-8031|ZDB-GENE-040426-2836|wu:fj48a01|
ZDB-GENE-030131-5118|ZDB-GENE-040426-2845|wu:fe49a05|
ZDB-GENE-030131-7692|ZDB-GENE-040426-2847|wu:fp97a04|
ZDB-GENE-030131-2718|ZDB-GENE-040426-2848|wu:fc16e02|
ZDB-GENE-060808-15|ZDB-GENE-040426-2848|wu:fq14b11|
ZDB-GENE-030131-4493|ZDB-GENE-040426-2854|wu:fd11a05|
ZDB-GENE-030131-7345|ZDB-GENE-040426-2855|wu:fj09d12|
ZDB-GENE-030131-8931|ZDB-GENE-040426-2857|wu:fa66c10|
ZDB-GENE-030131-3053|ZDB-GENE-040426-2863|wu:fc25h12|
ZDB-GENE-030131-5709|ZDB-GENE-040426-2864|wu:fb30b03|
ZDB-GENE-030131-1116|ZDB-GENE-040426-2868|wu:fb59g09|
ZDB-GENE-030131-1686|ZDB-GENE-040426-2872|wu:fb78a05|
ZDB-GENE-030131-8113|ZDB-GENE-040426-2874|wu:fj53d06|
ZDB-GENE-030131-3506|ZDB-GENE-040426-2878|wu:fc43b05|
ZDB-GENE-030131-285|ZDB-GENE-040426-2881|wu:fb19e02|
ZDB-GENE-030131-5967|ZDB-GENE-040426-2882|wu:fi27g06|
ZDB-GENE-030131-3757|ZDB-GENE-040426-2883|wu:fc52a06|
ZDB-GENE-040426-2214|ZDB-GENE-040426-2884|zgc:85775|
ZDB-GENE-030131-6309|ZDB-GENE-040426-2887|wu:fi43h07|
ZDB-GENE-030131-440|ZDB-GENE-040426-2889|wu:fb30h10|
ZDB-GENE-040426-2297|ZDB-GENE-040426-2891|zgc:77912|
ZDB-GENE-030131-1453|ZDB-GENE-040426-2897|wu:fb72b01|
ZDB-GENE-030131-7062|ZDB-GENE-040426-2898|wu:fk71g05|
ZDB-GENE-070112-1382|ZDB-GENE-040426-2898|zgc:158424|
ZDB-GENE-030131-1817|ZDB-GENE-040426-2901|wu:fb81f05|
ZDB-GENE-030131-6998|ZDB-GENE-040426-2903|wu:fa12e12|
ZDB-GENE-030131-8273|ZDB-GENE-040426-2904|LOC55831|
ZDB-GENE-030131-2899|ZDB-GENE-040426-2907|wu:fc21b10|
ZDB-GENE-030131-5897|ZDB-GENE-040426-2910|wu:fi23f07|
ZDB-GENE-040426-2046|ZDB-GENE-040426-2913|zgc:77493|
ZDB-GENE-030131-589|ZDB-GENE-040426-2918|wu:fb37d09|
ZDB-GENE-030131-366|ZDB-GENE-040426-2919|wu:fb24d11|
ZDB-GENE-030131-5795|ZDB-GENE-040426-2922|wu:fi18h03|
ZDB-GENE-030131-3084|ZDB-GENE-040426-2923|wu:fc26g01|
ZDB-GENE-030131-3477|ZDB-GENE-040426-2924|wu:fc41d03|
ZDB-GENE-030131-4838|ZDB-GENE-040426-2925|wu:fe01b07|
ZDB-GENE-040912-146|ZDB-GENE-040426-2925|zgc:92293|
ZDB-GENE-030131-1476|ZDB-GENE-040426-2930|wu:fb72g01|
ZDB-GENE-030131-8967|ZDB-GENE-040426-2931|wu:fa95d04|
ZDB-GENE-030131-5674|ZDB-GENE-040426-2933|wu:fi12g11|
ZDB-GENE-030131-5565|ZDB-GENE-040426-2935|wu:fi04d02|
ZDB-GENE-070112-742|ZDB-GENE-040426-2936|zgc:153447|
ZDB-GENE-030131-4147|ZDB-GENE-040426-2939|wu:fc75g08|
ZDB-GENE-030131-7303|ZDB-GENE-040426-2942|wu:fj05f07|
ZDB-GENE-040426-2488|ZDB-GENE-040426-2944|zgc:77169|
ZDB-GENE-030131-6464|ZDB-GENE-040426-2945|wu:fj98h11|
ZDB-GENE-030131-9278|ZDB-GENE-040426-2951|wu:fa55g05|
ZDB-LOCUS-040721-2|ZDB-GENE-040426-57|SMC1 structural maintenance of chromosomes 1-like 1 (yeast)|
ZDB-GENE-040426-684|ZDB-GENE-040426-685|zgc:63498|
ZDB-GENE-030131-1218|ZDB-GENE-040426-706|wu:fb63a10|
ZDB-GENE-040426-724|ZDB-GENE-040426-723|zgc:77321|
ZDB-GENE-040426-742|ZDB-GENE-040426-741|zgc:77170|
ZDB-GENE-060503-690|ZDB-GENE-040426-747|zgc:55584|
ZDB-GENE-050208-736|ZDB-GENE-040426-754|si:dkey-121a11.4|
ZDB-GENE-030131-399|ZDB-GENE-040426-760|si:ch211-257g8.2|
ZDB-GENE-030131-4852|ZDB-GENE-040426-765|wu:fe01e12|
ZDB-GENE-040426-786|ZDB-GENE-040426-785|zgc:55723|
ZDB-GENE-030131-6440|ZDB-GENE-040426-787|wu:fj97e07|
ZDB-GENE-041001-154|ZDB-GENE-040426-790|si:dkey-183n20.5|
ZDB-GENE-050828-3|ZDB-GENE-040426-795|zgc:113959|
ZDB-LOCUS-040728-2|ZDB-GENE-040426-804|WD repeat domain 1|
ZDB-GENE-030131-7979|ZDB-GENE-040426-815|wu:fj44c08|
ZDB-GENE-040426-823|ZDB-GENE-040426-822|zgc:77813|
ZDB-GENE-040426-840|ZDB-GENE-040426-839|zgc:77394|
ZDB-GENE-030131-5748|ZDB-GENE-040426-846|wu:fi16c02|
ZDB-GENE-040426-2524|ZDB-GENE-040426-851|zgc:77040|
ZDB-GENE-040808-70|ZDB-GENE-040426-857|zgc:86872|
ZDB-GENE-040426-2608|ZDB-GENE-040426-868|zgc:76968|
ZDB-GENE-030131-5998|ZDB-GENE-040426-875|wu:fi29f06|
ZDB-GENE-040426-2413|ZDB-GENE-040426-879|zgc:77417|
ZDB-GENE-040426-887|ZDB-GENE-040426-886|zgc:85864|
ZDB-GENE-030219-134|ZDB-GENE-040426-896|id:ibd2720|
ZDB-GENE-040426-902|ZDB-GENE-040426-901|zgc:77677|
ZDB-GENE-040625-33|ZDB-GENE-040426-908|zgc:86712|
ZDB-GENE-040426-920|ZDB-GENE-040426-919|zgc:77872|
ZDB-GENE-040426-2577|ZDB-GENE-040426-935|zgc:85638|
ZDB-GENE-040426-944|ZDB-GENE-040426-943|zgc:77472|
ZDB-GENE-040426-956|ZDB-GENE-040426-955|zgc:77422|
ZDB-GENE-030131-6655|ZDB-GENE-040426-971|wu:fa01b10|
ZDB-GENE-040625-163|ZDB-GENE-040426-977|zgc:86697|
ZDB-GENE-030131-1062|ZDB-GENE-040426-986|wu:fb58f02|
ZDB-GENE-040426-998|ZDB-GENE-040426-999|zgc:56366|
ZDB-GENE-060421-7550|ZDB-GENE-040429-2|zgc:136669|
ZDB-GENE-050417-225|ZDB-GENE-040511-1|zgc:63744|
ZDB-LOCUS-020710-1|ZDB-GENE-040513-7|sputnik|
ZDB-GENE-050417-321|ZDB-GENE-040516-11|zgc:110341|
ZDB-GENE-041014-200|ZDB-GENE-040516-17|si:ch211-124g24.1|
ZDB-GENE-030131-3214|ZDB-GENE-040516-3|wu:fc30g11|
ZDB-GENE-030131-6871|ZDB-GENE-040516-8|wu:fa09h08|
ZDB-GENE-041114-184|ZDB-GENE-040520-2|zgc:92340|
ZDB-GENE-030616-508|ZDB-GENE-040526-1|si:dz52i16.1|
ZDB-GENE-030131-1487|ZDB-GENE-040527-1|wu:fb72h09|
ZDB-GENE-010323-4|ZDB-GENE-040611-3|id:ibd2759|
ZDB-GENE-050522-458|ZDB-GENE-040614-1|zgc:111831|
ZDB-GENE-040718-237|ZDB-GENE-040615-1|zgc:101023|
ZDB-GENE-041121-3|ZDB-GENE-040618-2|zgc:103665|
ZDB-GENE-041010-158|ZDB-GENE-040621-1|zgc:101759|
ZDB-LOCUS-040826-6|ZDB-GENE-040622-3|neurofibromin 2 (bilateral acoustic neuroma)|
ZDB-GENE-050320-16|ZDB-GENE-040622-5|zgc:113935|
ZDB-GENE-060808-17|ZDB-GENE-040624-4|wu:fq15a04|
ZDB-GENE-040912-43|ZDB-GENE-040624-8|zgc:103411|
ZDB-GENE-030131-7941|ZDB-GENE-040625-104|wu:fj42d12|
ZDB-GENE-030131-869|ZDB-GENE-040625-111|wu:fb51e07|
ZDB-GENE-030131-8269|ZDB-GENE-040625-114|wu:fj63f03|
ZDB-GENE-030131-465|ZDB-GENE-040625-116|si:ch211-12p8.2|
ZDB-GENE-030131-115|ZDB-GENE-040625-119|hm:zehn0173|
ZDB-GENE-070705-2|ZDB-GENE-040625-126|si:dkey-47g2.1|
